-5.5024,0.114822,0.589219,1.22074,2.28738,2.81918,3.0307
-1.53499,1.33556,-0.326336,0.61037,-2.2904,-4.50526,5.47218
-2.75573,-1.71629,-0.0211513,-4.27259,-2.59558,-0.843037,6.69292
-5.19721,3.16667,1.19959,-0.915555,-0.154103,1.59844,2.42033
-4.28166,1.94593,8.21885,0.61037,-1.37484,-2.06378,8.21885
-0.92462,6.21852,7.91366,0.61037,0.761452,0.682889,11.8811
-7.94388,-0.190363,3.0307,-1.83111,-0.764473,2.81918,6.99811
-3.3661,0.114822,6.99811,-4.57778,-5.95262,1.59844,4.25144
-1.2298,-3.5474,3.94625,-1.83111,-5.34225,3.12437,2.72551
-5.80758,-2.32666,1.50477,-4.88296,3.8133,-1.45341,1.50477
-6.41795,-1.71629,3.0307,-9.15555,5.64441,-2.06378,2.11514
-7.63869,1.94593,1.80996,-1.83111,6.25478,-8.77785,-1.85226
-9.4698,1.03038,5.167,-1.22074,1.06664,2.20881,6.08255
-8.55425,-0.800733,6.38774,-2.74667,-1.68003,-1.75859,10.9655
-5.80758,1.33556,2.42033,-0.915555,-1.37484,1.59844,4.86181
-8.24906,-0.800733,3.0307,-5.18815,1.06664,-0.537851,1.80996
-3.3661,-3.5474,7.60848,-6.71407,1.67701,-5.42081,-0.0211515
-4.28166,-2.93703,7.30329,-6.40889,0.761452,6.78659,1.80996
0.906491,1.64075,5.167,-4.57778,8.08589,3.12437,6.69292
-1.84018,-1.10592,1.19959,0.915555,9.30663,3.42955,2.11514
0.296121,3.16667,5.77737,3.66222,5.33923,-0.843037,3.0307
-4.28166,-0.190363,-0.631521,-2.1363,-0.764473,-6.03118,4.25144
-2.75573,5.30297,0.894404,-5.18815,7.17034,0.682889,3.0307
-3.67129,1.33556,-0.326336,-8.24,3.20293,-2.97933,3.64107
-3.97647,1.94593,-0.326336,-6.71407,-0.764473,-2.67415,-0.0211515
-9.77499,-3.5474,0.894404,-7.01926,2.28738,-8.16748,6.99811
-4.58684,1.33556,-0.936707,-5.49333,7.47552,-10.9141,9.74477
-6.72314,-2.63184,-1.85226,2.1363,1.98219,-7.55711,7.60848
-10.0802,2.5563,-3.073,-0.915555,0.761452,-6.03118,5.167
